"시·도별(1)",2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"시·도별(1)",총인구 (명),남 (명),여 (명),한국인_세대 (세대),한국인_계 (명),한국인_남 (명),한국인_여 (명),외국인_계 (명),외국인_남 (명),외국인_여 (명)
"전국",52980961,26495265,26485696,23093108,51829023,25841029,25987994,1151938,654236,497702
"서울",9911088,4816522,5094566,4417954,9668465,4701723,4966742,242623,114799,127824
"부산",3438710,1686412,1752298,1530431,3391946,1661000,1730946,46764,25412,21352
"대구",2446144,1208020,1238124,1056627,2418346,1193109,1225237,27798,14911,12887
"인천",3010476,1512095,1498381,1267956,2942828,1473943,1468885,67648,38152,29496
"광주",1471385,728856,742529,633582,1450062,717348,732714,21323,11508,9815
"대전",1480777,738578,742199,652783,1463882,730699,733183,16895,7879,9016
"울산",1153901,594291,559610,476893,1136017,583708,552309,17884,10583,7301
"세종",360907,180741,180166,144275,355831,177568,178263,5076,3173,1903
"경기",13807158,6981931,6825227,5676401,13427014,6754469,6672545,380144,227462,152682
"강원",1560172,785949,774223,736301,1542840,776505,766335,17332,9444,7888
"충북",1637897,834609,803288,745644,1600837,811591,789246,37060,23018,14042
"충남",2185575,1121462,1064113,983153,2121029,1082634,1038395,64546,38828,25718
"전북",1835392,914168,921224,836660,1804104,896874,907230,31288,17294,13994
"전남",1884455,951722,932733,893152,1851549,930615,920934,32906,21107,11799
"경북",2691891,1361907,1329984,1254662,2639422,1329211,1310211,52469,32696,19773
"경남",3407455,1726553,1680902,1484601,3340216,1681423,1658793,67239,45130,22109
"제주",697578,351449,346129,302033,674635,338609,336026,22943,12840,10103
