,개수,구별,시도,국가
0,131,강남구,서울특별시,대한민국
1,74,강동구,서울특별시,대한민국
2,139,강북구,서울특별시,대한민국
3,108,강서구,서울특별시,대한민국
4,115,관악구,서울특별시,대한민국
5,70,광진구,서울특별시,대한민국
6,117,구로구,서울특별시,대한민국
7,75,금천구,서울특별시,대한민국
8,30,노원구,서울특별시,대한민국
9,24,도봉구,서울특별시,대한민국
10,140,동대문구,서울특별시,대한민국
11,37,동작구,서울특별시,대한민국
12,78,마포구,서울특별시,대한민국
13,88,서대문구,서울특별시,대한민국
14,39,서초구,서울특별시,대한민국
15,68,성동구,서울특별시,대한민국
16,70,성북구,서울특별시,대한민국
17,82,송파구,서울특별시,대한민국
18,18,양천구,서울특별시,대한민국
19,218,영등포구,서울특별시,대한민국
20,91,용산구,서울특별시,대한민국
21,65,은평구,서울특별시,대한민국
22,237,종로구,서울특별시,대한민국
23,332,중구,서울특별시,대한민국
24,97,중랑구,서울특별시,대한민국
